,Search_Term,CleanedDrugName
0,acute coronary syndrome,ABCIXIMAB|CLOPIDOGREL|PRASUGREL|RIVAROXABAN|TICAGRELOR
1,acute lymphoblastic leukaemia,BLINATUMOMAB|DASATINIB|INOTUZUMAB|PEGASPARGASE|PONATINIB|TISAGENLECLEUCEL
2,acute myeloid leukaemia,AZACITIDINE|DECITABINE|GEMTUZUMAB|GILTERITINIB|GLASDEGIB|LIPOSOMAL|MIDOSTAURIN|ORAL|VENETOCLAX
3,acute promyelocytic leukaemia,ARSENIC|GEMTUZUMAB
4,allergic asthma,OMALIZUMAB
5,allergic rhinitis,SQ
6,alzheimer's disease,DONEPEZIL
7,amyloidosis,VUTRISIRAN
8,anaemia,ERYTHROPOIESIS-STIMULATING|ERYTHROPOIETIN
9,anaplastic large cell lymphoma,BRENTUXIMAB
10,ankylosing spondylitis,ADALIMUMAB|GOLIMUMAB|SECUKINUMAB|UPADACITINIB
11,apixaban,ANDEXANET
12,aplastic anaemia,ELTROMBOPAG
13,arthritis,ETANERCEPT
14,asthma,BENRALIZUMAB|DUPILUMAB|INHALED|MEPOLIZUMAB|OMALIZUMAB|RESLIZUMAB
15,atopic dermatitis,ABROCITINIB|ALCLOMETASONE|BARICITINIB|CRISABOROLE|DUPILUMAB|PIMECROLIMUS
16,atrial fibrillation,APIXABAN|DABIGATRAN|DRONEDARONE|EDOXABAN|RIVAROXABAN|VERNAKALANT
17,attention deficit hyperactivity disorder,ATOMOXETINE
18,attention-deficit hyperactivity disorder,METHYLPHENIDATE
19,axial spondyloarthritis,ADALIMUMAB|GOLIMUMAB|IXEKIZUMAB|SECUKINUMAB|UPADACITINIB
20,basal cell carcinoma,VISMODEGIB
21,bipolar disorder,LOXAPINE|OLANZAPINE
22,bladder,MIRABEGRON
23,brca,OLAPARIB
24,breast cancer,ABEMACICLIB|ALPELISIB|ANASTROZOLE|ATEZOLIZUMAB|BEVACIZUMAB|CAPECITABINE|DENOSUMAB|DOCETAXEL|ERIBULIN|EVEROLIMUS|FULVESTRANT|GEMCITABINE|INTRABEAM|LAPATINIB|NERATINIB|OLAPARIB|PACLITAXEL|PALBOCICLI|PALBOCICLIB|PEMBROLIZUMAB|PERTUZUMAB|RIBOCICLIB|SACITUZUMAB|TRASTUZUMAB|TUCATINIB|VINORELBINE
25,cardiomyopathy,TAFAMIDIS
26,cardiovascular disease,ATORVASTATIN
27,cervical cancer,TOPOTECAN
28,cholangiocarcinoma,PEMIGATINIB
29,choroidal neovascularisation,AFLIBERCEPT|RANIBIZUMAB
30,chronic kidney disease,DAPAGLIFLOZIN|IMLIFIDASE|ROXADUSTAT
31,chronic liver disease,AVATROMBOPAG|LUSUTROMBOPAG
32,chronic lymphocytic leukaemia,ACALABRUTINIB|BENDAMUSTINE|DUVELISIB|IBRUTINIB|IDELALISIB|OBINUTUZUMAB|OFATUMUMAB|RITUXIMAB|VENETOCLAX
33,chronic myeloid leukaemia,ASCIMINIB|BOSUTINIB|STANDARD-DOSE|DASATINIB|DASITINIB|NILOTINIB|PONATINIB
34,chronic obstructive pulmonary disease,ROFLUMILAST
35,colon cancer,CAPECITABINE
36,colorectal cancer,BEVACIZUMAB|CAPECITABINE|IRINOTECAN
37,constipation,LUBIPROSTONE|METHYLNALTREXONE|NALDEMEDINE|NALOXEGOL|PRUCALOPRIDE
38,covid-19,NIRMATRELVIR
39,crohn's disease,INFLIXIMAB|VEDOLIZUMAB
40,cutaneous t-cell lymphoma,BRENTUXIMAB|CHLORMETHINE
41,cystic fibrosis,COLISTIMETHATE|LUMACAFTOR|MANNITOL
42,cytomegalovirus,LETERMOVIR|MARIBAVIR
43,deep vein thrombosis,APIXABAN|DABIGATRAN|EDOXABAN|RIVAROXABAN
44,depression,ESKETAMINE
45,diabetes,ERTUGLIFLOZIN|INHALED|AFLIBERCEPT|BROLUCIZUMAB|DEXAMETHASONE|FARICIMAB|FLUOCINOLONE|RANIBIZUMAB
46,diabetic retinopathy,RANIBUZIMAB
47,diffuse large b-cell lymphoma,AXICABTAGENE|POLATUZUMAB|TISAGENLECLEUCEL
48,dravet syndrome,CANNABIDIOL|FENFLURAMINE
49,drug misuse,BUPRENORPHINE|NALTREXONE
50,dry eye,CICLOSPORIN
51,dyspepsia,LANSOPRAZOLE
52,endometrial cancer,DOSTARLIMAB
53,epilepsy,CENOBAMATE|GABAPENTIN|RETIGABINE
54,fallopian tube,BEVACIZUMAB|NIRAPARIB|OLAPARIB|RUCAPARIB
55,follicular lymphoma,DUVELISIB|IDELALISIB|LENALIDOMIDE|OBINUTUZUMAB|RITUXIMAB|TISAGENLECLEUCEL
56,gastric cancer,CAPECITABINE|RAMUCIRUMAB|TRASTUZUMAB|TRIFLURIDINE
57,gastro-oesophageal junction,NIVOLUMAB|PEMBROLIZUMAB
58,giant cell arteritis,TOCILIZUMAB
59,glioma,CARMUSTINE
60,gout,CANAKINUMAB|FEBUXOSTAT|LESINURAD
61,graft versus host disease,RUXOLITINIB
62,granulomatosis with polyangiitis,AVACOPAN|MEPOLIZUMAB
63,growth hormone deficiency,SOMATROPIN
64,hand eczema,ALITRETINOIN
65,heart failure,DAPAGLIFLOZIN|EMPAGLIFLOZIN|IVABRADINE|SACUBITRIL|VERICIGUAT
66,hepatitis b,ADEFOVIR
67,hepatitis c,BOCEPREVIR|DACLATASVIR|ELBASVIR|GLECAPREVIR|INTERFERON|LEDIPASVIR|OMBITASVIR|PEGINTERFERON|PEGYLATED|SIMEPREVIR|SOFOSBUVIR|TELAPREVIR
68,hepatocellular carcinoma,ATEZOLIZUMAB|CABOZANTINIB|LENVATINIB|RAMUCIRUMAB|REGORAFENIB|SELECTIVE|SORAFENIB
69,hiv,CABOTEGRAVIR
70,hodgkin lymphoma,BRENTUXIMAB|NIVOLUMAB|PEMBROLIZUMAB
71,hormone receptor,ABEMACICLIB
72,hypercholesterolaemia,EZETIMIBE
73,hyperparathyroidism,CINACALCET|ETELCALCETIDE
74,immune thrombocytopenia,AVATROMBOPAG|FOSTAMATINIB
75,influenza,AMANTADINE|ZANAMIVIR|BALOXAVIR
76,insomnia,ZALEPLON
77,irritable bowel syndrome,ELUXADOLINE
78,ischaemic stroke,ALTEPLASE
79,juvenile idiopathic arthritis,ABATECEPT|CANAKINUMAB|TOCILIZUMAB|TOFACITINIB
80,kidney transplant,BASILIXIMAB
81,leukaemia,FLUDARABINE|IMATINIB
82,lung cancer,ATEZOLIZUMAB|DURVALUMAB|GEFITINIB|ORAL|NINTEDANIB
83,lymphoma,BENDAMUSTINE|CRIZOTINIB|PIXANTRONE|RITUXIMAB
84,macular degeneration,AFLIBERCEPT|BROLUCIZUMAB|FARICIMAB|RANIBIZUMAB
85,macular oedema,AFLIBERCEPT|RANIBIZUMAB
86,major depressive episodes,AGOMELATINE|VORTIOXETINE
87,malignant melanoma,VEMURAFENIB
88,malignant pleural mesothelioma,NIVOLUMAB|PEMETREXED
89,manic episode,ARIPIPRAZOLE
90,mantle cell lymphoma,AUTOLOGOUS|BORTEZOMIB|IBRUTINIB|LENALIDOMIDE|TEMSIROLIMUS
91,melanoma,COBIMETINIB|DABRAFENIB|ENCORAFENIB|IPILIMUMAB|NIVOLUMAB|PEMBROLIZUMAB|TALIMOGENE|TRAMETINIB
92,merkel cell carcinoma,AVELUMAB
93,migraine,BOTULINUM|EPTINEZUMAB|ERENUMAB|FREMANEZUMAB|GALCANEZUMAB
94,motor neurone disease,RILUZOLE
95,multiple myeloma,BORTEZOMIB|THALIDOMIDE|CARFILZOMIB|DARATUMUMAB|DENOSUMAB|ELOTUZUMAB|ISATUXIMAB|IXAZOMIB|LENALIDOMIDE|PANOBINOSTAT|POMALIDOMIDE|SELINEXOR|TECLISTAMAB
96,multiple sclerosis,ALEMTUZUMAB|BETA|CLADRIBINE|DACLIZUMAB|DIMETHYL|DIROXIMEL|FINGOLIMOD|INTERFERON|NATALIZUMAB|OCRELIZUMAB|OZANIMOD|PEGINTERFERON|PONESIMOD|SIPONIMOD|TERIFLUNOMIDE
97,myelodysplastic,LENALIDOMIDE|LUSPATERCEPT
98,myelofibrosis,FEDRATINIB|RUXOLITINIB
99,myocardial infarction,ALTEPLASE|BIVALIRUDIN|TICAGRELOR
100,myotonia,MEXILETINE
101,narcolepsy,SOLRIAMFETOL
102,neuroendocrine tumour,EVEROLIMUS|LUTETIUM
103,non-small cell lung cancer,ATEZOLIZMAB|DOCETAXEL|ERLOTINIB|PEMETREXED
104,non-small-cell lung cancer,AFATINIB|ALECTINIB|AMIVANTAMAB|ATEZOLIZUMAB|BEVACIZUMAB|BRIGATINIB|CEMIPLIMAB|CERITINIB|CRIZOTINIB|DABRAFENIB|DACOMITINIB|DURVALUMAB|ENTRECTINIB|ERLOTINIB|GEFITINIB|LORLATINIB|MOBOCERTINIB|NECITUMUMAB|NIVOLUMAB|OSIMERTINIB|PACLITAXEL|PEMBROLIZUMAB|PEMETREXED|PRALSETINIB|RAMUCIRUMAB|SELPERCATINIB|SOTORASIB|TEPOTINIB
105,obesity,LIRAGLUTIDE|NALTREXONE|ORLISTAT|SEMAGLUTIDE|SIBUTRAMINE
106,oesophageal cancer,NIVOLUMAB
107,osteoarthritis,CELECOXIB
108,osteoporosis,ALENDRONATE|DENOSUMAB|ORAL|ROMOSOZUMAB
109,osteosarcoma,MIFAMURTIDE
110,ovarian cancer,BEVACIZUMAB|PACLITAXEL|PEGYLATED|TOPOTECAN|TRABECTEDIN
111,overweight,RIMONABANT
112,pancreatic cancer,GEMCITABINE|OLAPARIB|PACLITAXEL|PEGYLATED
113,paroxysmal nocturnal haemoglobinuria,PEGCETACOPLAN|RAVULIZUMAB
114,peripheral arterial disease,NAFTIDROFYRYL
115,plaque psoriasis,ADALIMUMAB|APREMILAST|BIMEKIZUMAB|BRODALUMAB|CERTOLIZUMAB|GUSELKUMAB|INFLIXIMAB|IXEKIZUMAB|RISANKIZUMAB|SECUKINUMAB|TILDRAKIZUAMB|USTEKINUMAB
116,polycystic kidney disease,TOLVAPTAN
117,polycythaemia vera,RUXOLITINIB
118,pregnancy,ROUTINE
119,primary biliary cholangitis,OBETICHOLIC
120,primary hypercholesterolaemia,ALIROCUMAB|EVOLOCUMAB
121,prostate cancer,ABIRATERONE|APALUTAMIDE|CABAZITAXEL|DAROLUTAMIDE|DEGARELIX|DENOSUMAB|DOCETAXEL|ENZALUTAMIDE|OLAPARIB|PADELIPORFIN|RADIUM-|RADIUM|SIPULEUCEL-T
122,psoriasis,EFALUZIMAB
123,psoriatic arthritis,ABATACEPT|ADALIMUMAB|APREMILAST|CERTOLIZUMAB|ETANERCEPT|GOLIMUMAB|GUSELKUMAB|IXEKIZUMAB|RISANKIZUMAB|TOFACITINIB|UPADACITINIB|USTEKINUMAB
124,pulmonary embolism,APIXABAN|DABIGATRAN|EDOXABAN|RIVAROXABAN
125,pulmonary fibrosis,NINTEDANIB|PIRFENIDONE
126,relapsing multiple sclerosis,OFATUMUMAB
127,renal cell carcinoma,AVELUMAB|AXITINIB|BEVACIZUMAB|CABOZANTINIB|EVEROLIMUS|LENVATINIB|NIVOLUMAB|PAZOPANIB|PEMBROLIZUMAB|SUNITINIB|TIVOZANIB
128,renal transplantation,BASILIXIMAB|INDUCTION
129,retinal vein occlusion,AFLIBERCEPT|DEXAMETHASONE|RANIBIZUMAB
130,rheumatoid arthritis,ABATACEPT|ADALIMUMAB|ANAKINRA|BARICITINIB|CELECOXIB|CERTOLIZUMAB|ETANERCEPT|FILGOTINIB|GOLIMUMAB|RITUXIMAB|SARILUMAB|TOCILIZUMAB|TOFACITINIB|UPADACITINIB
131,rivaroxaban,ANDEXANET
132,schizophrenia,AMISULPRIDE|ARIPIPRAZOLE|LOXAPINE
133,seizures,CANNABIDIOL
134,sepsis,DROTRECOGIN
135,severe persistent allergic asthma,OMALIZUMAB
136,short bowel syndrome,TEDUGLUTIDE
137,sickle cell disease,CRIZANLIZUMAB
138,sleep apnoea,PITOLISANT|SOLRIAMFETOL
139,smoking cessation,NICOTINE|VARENICLINE
140,soft tissue sarcoma,INTRAVENOUS|NBTXR-|OLARATUMAB
141,spinal muscular atrophy,NUSINERSEN|RISDIPLAM
142,squamous cell,CETUXIMAB
143,squamous cell carcinoma,CEMIPLIMAB|NIVOLUMAB|PEMBROLIZUMAB
144,stem cell transplant,MELPHALAN|TREOSULFAN
145,stroke,APIXABAN|DABIGATRAN|EDOXABAN|RIVAROXABAN
146,systemic lupus erythematosus,ANIFROLUMAB|ETANERCEPT
147,systemic mastocytosis,MIDOSTAURIN
148,thrombocytopenic purpura,ELTROMBOPAG|ROMIPLOSTIM
149,thrombotic thrombocytopenic purpura,CAPLACIZUMAB
150,thyroid cancer,CABOZANTINIB|LENVATINIB|SELPERCATINIB|VANDETANIB
151,tophaceous gout,PEGLOTICASE
152,transitional cell carcinoma,VINFLUNINE
153,tuberous sclerosis,CANNABIDIOL
154,type 1 diabetes,CONTINUOUS|DAPAGLIFLOZIN|INSULIN|SOTAGLIFLOZIN
155,type 2 diabetes,CANAGLIFLOZIN|CONTINUOUS|DAPAGLIFLOZIN|EMPAGLIFLOZIN|ERTUGLIFLOZIN|EXENATIDE|FINERENONE|INSULIN|LIRAGLUTIDE|PIOGLITAZONE|ROSIGLITAZONE
156,ulcerative colitis,ADALIMUMAB|INFLIXIMAB|FILGOTINIB|OZANIMOD|TOFACITINIB|UPADACITINIB|USTEKINUMAB|VEDOLIZUMAB
157,urothelial carcinoma,ATEZOLIZUMAB|PEMBROLIZUMAB
158,urticaria,OMALIZUMAB
159,uterine fibroids,RELUGOLIX
160,uveitis,ADALIMUMAB|FLUOCINOLONE
161,vascular disease,MODIFIED-RELEASE|CLOPIDOGREL
162,vasculitis,RITUXIMAB
163,venous thromboembolism,APIXABAN|DABIGATRAN|RIVAROXABAN
