Search_Term,PrimaryDirectorate,AllDirectorates
acute coronary syndrome,CARDIOLOGY,CARDIOLOGY
acute coronary syndromes,CARDIOLOGY,CARDIOLOGY
acute lymphoblastic leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|PAEDIATRICS
acute myeloid leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
acute promyelocytic leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
advanced breast cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|BREAST SURGERY|CLINICAL ONCOLOGY
allergic asthma,THORACIC MEDICINE,THORACIC MEDICINE|CLINICAL IMMUNOLOGY
allergic rhinitis,ENT,ENT|CLINICAL IMMUNOLOGY
alzheimer's disease,NEUROLOGY,NEUROLOGY|GERIATRIC MEDICINE|MENTAL HEALTH
amyloidosis,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|CARDIOLOGY|NEPHROLOGY
anaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|GENERAL MEDICINE
anaplastic large cell lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
angioedema,CLINICAL IMMUNOLOGY,CLINICAL IMMUNOLOGY|ACCIDENT & EMERGENCY
ankylosing spondylitis,RHEUMATOLOGY,RHEUMATOLOGY
apixaban,CARDIOLOGY,CARDIOLOGY|CLINICAL HAEMATOLOGY
aplastic anaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
arthritis,RHEUMATOLOGY,RHEUMATOLOGY
asthma,THORACIC MEDICINE,THORACIC MEDICINE|PAEDIATRICS
atopic dermatitis,DERMATOLOGY,DERMATOLOGY|PAEDIATRICS|CLINICAL IMMUNOLOGY
atrial fibrillation,CARDIOLOGY,CARDIOLOGY
attention deficit hyperactivity disorder,MENTAL HEALTH,MENTAL HEALTH|PAEDIATRICS
attention-deficit hyperactivity disorder,MENTAL HEALTH,MENTAL HEALTH|PAEDIATRICS
axial spondyloarthritis,RHEUMATOLOGY,RHEUMATOLOGY
basal cell carcinoma,DERMATOLOGY,DERMATOLOGY|PLASTIC SURGERY|MEDICAL ONCOLOGY
beta-thalassaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|PAEDIATRICS
biliary cholangitis,GASTROENTEROLOGY,GASTROENTEROLOGY
bipolar disorder,MENTAL HEALTH,MENTAL HEALTH
bladder,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
braf,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|CLINICAL ONCOLOGY
brca,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|GYNAECOLOGICAL ONCOLOGY|BREAST SURGERY
breast cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|BREAST SURGERY|CLINICAL ONCOLOGY
cardiomyopathy,CARDIOLOGY,CARDIOLOGY
cardiovascular disease,CARDIOLOGY,CARDIOLOGY|VASCULAR SURGERY
cervical cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|GYNAECOLOGICAL ONCOLOGY|CLINICAL ONCOLOGY
cholangiocarcinoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|GASTROENTEROLOGY|CLINICAL ONCOLOGY
choroidal neovascularisation,OPHTHALMOLOGY,OPHTHALMOLOGY|MEDICAL OPHTHALMOLOGY
chronic hepatitis b,GASTROENTEROLOGY,GASTROENTEROLOGY|INFECTIOUS DISEASES
chronic kidney disease,NEPHROLOGY,NEPHROLOGY
chronic liver disease,GASTROENTEROLOGY,GASTROENTEROLOGY
chronic lymphocytic leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
chronic myeloid leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
chronic obstructive pulmonary disease,THORACIC MEDICINE,THORACIC MEDICINE
colon cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|COLORECTAL SURGERY|CLINICAL ONCOLOGY
colorectal cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|COLORECTAL SURGERY|CLINICAL ONCOLOGY
constipation,GASTROENTEROLOGY,GASTROENTEROLOGY|GENERAL MEDICINE
coronary syndrome,CARDIOLOGY,CARDIOLOGY
covid,INFECTIOUS DISEASES,INFECTIOUS DISEASES|THORACIC MEDICINE
covid-19,INFECTIOUS DISEASES,INFECTIOUS DISEASES|THORACIC MEDICINE
crohn's disease,GASTROENTEROLOGY,GASTROENTEROLOGY|PAEDIATRIC GASTROENTEROLOGY|COLORECTAL SURGERY
cutaneous t-cell lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|DERMATOLOGY
cystic fibrosis,THORACIC MEDICINE,THORACIC MEDICINE|PAEDIATRICS|GASTROENTEROLOGY
cytomegalovirus,INFECTIOUS DISEASES,INFECTIOUS DISEASES|TRANSPLANTATION SURGERY
deep vein thrombosis,VASCULAR SURGERY,VASCULAR SURGERY|CLINICAL HAEMATOLOGY
depression,MENTAL HEALTH,MENTAL HEALTH
depressive episode,MENTAL HEALTH,MENTAL HEALTH
diabetes,DIABETIC MEDICINE,DIABETIC MEDICINE|ENDOCRINOLOGY
diabetic macular,OPHTHALMOLOGY,OPHTHALMOLOGY|MEDICAL OPHTHALMOLOGY
diabetic macular oedema,OPHTHALMOLOGY,OPHTHALMOLOGY|MEDICAL OPHTHALMOLOGY
diabetic retinopathy,OPHTHALMOLOGY,OPHTHALMOLOGY|MEDICAL OPHTHALMOLOGY|DIABETIC MEDICINE
diffuse large b-cell lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
dravet syndrome,NEUROLOGY,NEUROLOGY|PAEDIATRICS
drug misuse,MENTAL HEALTH,MENTAL HEALTH|ADDICTION MEDICINE
dry eye,OPHTHALMOLOGY,OPHTHALMOLOGY
dupuytren's contracture,TRAUMA & ORTHOPAEDICS,TRAUMA & ORTHOPAEDICS|PLASTIC SURGERY
dyslipidaemia,CARDIOLOGY,CARDIOLOGY|ENDOCRINOLOGY
dyspepsia,GASTROENTEROLOGY,GASTROENTEROLOGY|GENERAL MEDICINE
eczema,DERMATOLOGY,DERMATOLOGY|PAEDIATRICS
endometrial cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|GYNAECOLOGICAL ONCOLOGY|CLINICAL ONCOLOGY
epilepsy,NEUROLOGY,NEUROLOGY|PAEDIATRICS
fallopian tube,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|GYNAECOLOGICAL ONCOLOGY|CLINICAL ONCOLOGY
fibroids,GYNAECOLOGY,GYNAECOLOGY
follicular lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
fragility fracture,RHEUMATOLOGY,RHEUMATOLOGY|TRAUMA & ORTHOPAEDICS|GERIATRIC MEDICINE
gastric cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UPPER GASTROINTESTINAL SURGERY|CLINICAL ONCOLOGY
gastro-oesophageal,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UPPER GASTROINTESTINAL SURGERY|CLINICAL ONCOLOGY
gastro-oesophageal junction,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UPPER GASTROINTESTINAL SURGERY|CLINICAL ONCOLOGY
gastrointestinal stromal tumour,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UPPER GASTROINTESTINAL SURGERY|CLINICAL ONCOLOGY
gastrointestinal stromal tumours,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UPPER GASTROINTESTINAL SURGERY|CLINICAL ONCOLOGY
giant cell arteritis,RHEUMATOLOGY,RHEUMATOLOGY
glioma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|NEUROSURGERY|CLINICAL ONCOLOGY
gout,RHEUMATOLOGY,RHEUMATOLOGY
graft versus host disease,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|TRANSPLANTATION SURGERY
granulomatosis with polyangiitis,RHEUMATOLOGY,RHEUMATOLOGY|THORACIC MEDICINE|NEPHROLOGY
growth failure,ENDOCRINOLOGY,ENDOCRINOLOGY|PAEDIATRICS
growth hormone deficiency,ENDOCRINOLOGY,ENDOCRINOLOGY|PAEDIATRICS
haemoglobinuria,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
hand eczema,DERMATOLOGY,DERMATOLOGY
head and neck,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|ENT|CLINICAL ONCOLOGY
heart failure,CARDIOLOGY,CARDIOLOGY
hepatic encephalopathy,GASTROENTEROLOGY,GASTROENTEROLOGY
hepatitis b,GASTROENTEROLOGY,GASTROENTEROLOGY|INFECTIOUS DISEASES
hepatitis c,GASTROENTEROLOGY,GASTROENTEROLOGY|INFECTIOUS DISEASES
hepatocellular carcinoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|GASTROENTEROLOGY|CLINICAL ONCOLOGY
her2,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|BREAST SURGERY|CLINICAL ONCOLOGY
her2-positive,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|BREAST SURGERY|CLINICAL ONCOLOGY
hereditary angioedema,CLINICAL IMMUNOLOGY,CLINICAL IMMUNOLOGY
hidradenitis suppurativa,DERMATOLOGY,DERMATOLOGY
hiv,INFECTIOUS DISEASES,INFECTIOUS DISEASES
hodgkin lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
hormone receptor,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|BREAST SURGERY|CLINICAL ONCOLOGY
hypercholesterolaemia,CARDIOLOGY,CARDIOLOGY|ENDOCRINOLOGY|CHEMICAL PATHOLOGY
hyperparathyroidism,ENDOCRINOLOGY,ENDOCRINOLOGY
hyperuricaemia,RHEUMATOLOGY,RHEUMATOLOGY
immune thrombocytopenia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
influenza,INFECTIOUS DISEASES,INFECTIOUS DISEASES|GENERAL MEDICINE
insomnia,NEUROLOGY,NEUROLOGY|MENTAL HEALTH
interstitial lung disease,THORACIC MEDICINE,THORACIC MEDICINE
irritable bowel syndrome,GASTROENTEROLOGY,GASTROENTEROLOGY
ischaemic stroke,STROKE MEDICINE,STROKE MEDICINE|NEUROLOGY
juvenile idiopathic arthritis,RHEUMATOLOGY,RHEUMATOLOGY|PAEDIATRICS
keratitis,OPHTHALMOLOGY,OPHTHALMOLOGY
kidney disease,NEPHROLOGY,NEPHROLOGY
kidney transplant,NEPHROLOGY,NEPHROLOGY|TRANSPLANTATION SURGERY
large b-cell lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
limbal stem cell deficiency,OPHTHALMOLOGY,OPHTHALMOLOGY
liver disease,GASTROENTEROLOGY,GASTROENTEROLOGY
lung cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|THORACIC MEDICINE|CLINICAL ONCOLOGY
lymphoblastic leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|PAEDIATRICS
lymphocytic leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
macular degeneration,OPHTHALMOLOGY,OPHTHALMOLOGY|MEDICAL OPHTHALMOLOGY
macular oedema,OPHTHALMOLOGY,OPHTHALMOLOGY|MEDICAL OPHTHALMOLOGY
major depressive episodes,MENTAL HEALTH,MENTAL HEALTH
malignant melanoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|DERMATOLOGY|CLINICAL ONCOLOGY
malignant pleural mesothelioma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|THORACIC MEDICINE|CLINICAL ONCOLOGY
manic episode,MENTAL HEALTH,MENTAL HEALTH
mantle cell lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
mastocytosis,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|CLINICAL IMMUNOLOGY
melanoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|DERMATOLOGY|CLINICAL ONCOLOGY
merkel cell,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|DERMATOLOGY|CLINICAL ONCOLOGY
merkel cell carcinoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|DERMATOLOGY|CLINICAL ONCOLOGY
mesothelioma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|THORACIC MEDICINE|CLINICAL ONCOLOGY
metastatic colorectal cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|COLORECTAL SURGERY|CLINICAL ONCOLOGY
migraine,NEUROLOGY,NEUROLOGY
motor neurone disease,NEUROLOGY,NEUROLOGY|REHABILITATION|PALLIATIVE CARE
multiple myeloma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
multiple sclerosis,NEUROLOGY,NEUROLOGY|REHABILITATION
myelodysplastic,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
myelodysplastic syndromes,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
myelofibrosis,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
myeloid leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
myocardial infarction,CARDIOLOGY,CARDIOLOGY
myotonia,NEUROLOGY,NEUROLOGY
narcolepsy,NEUROLOGY,NEUROLOGY
nasal polyps,ENT,ENT|THORACIC MEDICINE|CLINICAL IMMUNOLOGY
neuroblastoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|PAEDIATRICS|CLINICAL ONCOLOGY
neuroendocrine tumour,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|ENDOCRINOLOGY|CLINICAL ONCOLOGY
non-small cell lung cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|THORACIC MEDICINE|CLINICAL ONCOLOGY
non-small-cell lung cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|THORACIC MEDICINE|CLINICAL ONCOLOGY
obesity,ENDOCRINOLOGY,ENDOCRINOLOGY|DIABETIC MEDICINE|GENERAL MEDICINE
oesophageal cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UPPER GASTROINTESTINAL SURGERY|CLINICAL ONCOLOGY
osteoarthritis,RHEUMATOLOGY,RHEUMATOLOGY|TRAUMA & ORTHOPAEDICS|GERIATRIC MEDICINE
osteoporosis,RHEUMATOLOGY,RHEUMATOLOGY|ENDOCRINOLOGY|GERIATRIC MEDICINE
osteosarcoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|TRAUMA & ORTHOPAEDICS|CLINICAL ONCOLOGY
ovarian cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|GYNAECOLOGICAL ONCOLOGY|CLINICAL ONCOLOGY
overweight,ENDOCRINOLOGY,ENDOCRINOLOGY|DIABETIC MEDICINE
pancreatic cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UPPER GASTROINTESTINAL SURGERY|CLINICAL ONCOLOGY
pancreatic neuroendocrine,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|ENDOCRINOLOGY|CLINICAL ONCOLOGY
paroxysmal nocturnal haemoglobinuria,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
peanut allergy,CLINICAL IMMUNOLOGY,CLINICAL IMMUNOLOGY|PAEDIATRICS
perianal fistula,GASTROENTEROLOGY,GASTROENTEROLOGY|COLORECTAL SURGERY
peripheral arterial disease,VASCULAR SURGERY,VASCULAR SURGERY|CARDIOLOGY
plaque psoriasis,DERMATOLOGY,DERMATOLOGY
polycystic kidney,NEPHROLOGY,NEPHROLOGY
polycystic kidney disease,NEPHROLOGY,NEPHROLOGY
polycythaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
polycythaemia vera,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
pouchitis,GASTROENTEROLOGY,GASTROENTEROLOGY|COLORECTAL SURGERY
pregnancy,OBSTETRICS,OBSTETRICS
primary biliary cholangitis,GASTROENTEROLOGY,GASTROENTEROLOGY
primary hypercholesterolaemia,CARDIOLOGY,CARDIOLOGY|ENDOCRINOLOGY|CHEMICAL PATHOLOGY
promyelocytic leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
prostate cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
psoriasis,DERMATOLOGY,DERMATOLOGY
psoriatic arthritis,RHEUMATOLOGY,RHEUMATOLOGY|DERMATOLOGY
pulmonary embolism,THORACIC MEDICINE,THORACIC MEDICINE|CARDIOLOGY|CLINICAL HAEMATOLOGY
pulmonary fibrosis,THORACIC MEDICINE,THORACIC MEDICINE
relapsing multiple sclerosis,NEUROLOGY,NEUROLOGY|REHABILITATION
renal cell,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
renal cell carcinoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
renal transplantation,NEPHROLOGY,NEPHROLOGY|TRANSPLANTATION SURGERY
retinal vein occlusion,OPHTHALMOLOGY,OPHTHALMOLOGY|MEDICAL OPHTHALMOLOGY
rheumatoid arthritis,RHEUMATOLOGY,RHEUMATOLOGY|CLINICAL IMMUNOLOGY|GERIATRIC MEDICINE
rhinosinusitis with nasal polyps,ENT,ENT|THORACIC MEDICINE|CLINICAL IMMUNOLOGY
rivaroxaban,CARDIOLOGY,CARDIOLOGY|CLINICAL HAEMATOLOGY
schizophrenia,MENTAL HEALTH,MENTAL HEALTH
seizures,NEUROLOGY,NEUROLOGY|PAEDIATRICS
sepsis,INFECTIOUS DISEASES,INFECTIOUS DISEASES|CRITICAL CARE MEDICINE
severe persistent allergic asthma,THORACIC MEDICINE,THORACIC MEDICINE|CLINICAL IMMUNOLOGY
short bowel syndrome,GASTROENTEROLOGY,GASTROENTEROLOGY|COLORECTAL SURGERY
sickle cell,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|PAEDIATRICS
sickle cell disease,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|PAEDIATRICS
sleep apnoea,THORACIC MEDICINE,THORACIC MEDICINE|ENT
smoking cessation,THORACIC MEDICINE,THORACIC MEDICINE|GENERAL MEDICINE
soft tissue sarcoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|CLINICAL ONCOLOGY
spinal muscular atrophy,NEUROLOGY,NEUROLOGY|PAEDIATRICS
splenomegaly,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|GASTROENTEROLOGY
spondyloarthritis,RHEUMATOLOGY,RHEUMATOLOGY
squamous cell,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|DERMATOLOGY|ENT|CLINICAL ONCOLOGY
squamous cell carcinoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|DERMATOLOGY|ENT|CLINICAL ONCOLOGY
stem cell transplant,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|TRANSPLANTATION SURGERY
stroke,STROKE MEDICINE,STROKE MEDICINE|NEUROLOGY
systemic lupus erythematosus,RHEUMATOLOGY,RHEUMATOLOGY|CLINICAL IMMUNOLOGY|NEPHROLOGY
systemic mastocytosis,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|CLINICAL IMMUNOLOGY
t-cell lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
thalassaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|PAEDIATRICS
thrombocytopenia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
thrombocytopenic purpura,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
thromboembolism,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|CARDIOLOGY
thrombotic thrombocytopenic purpura,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
thyroid cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|ENDOCRINOLOGY|CLINICAL ONCOLOGY
tophaceous gout,RHEUMATOLOGY,RHEUMATOLOGY
transitional cell carcinoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
transthyretin amyloidosis,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|CARDIOLOGY|NEUROLOGY
triple-negative,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|BREAST SURGERY|CLINICAL ONCOLOGY
tuberous sclerosis,NEUROLOGY,NEUROLOGY|PAEDIATRICS
type 1 diabetes,DIABETIC MEDICINE,DIABETIC MEDICINE|ENDOCRINOLOGY|PAEDIATRICS
type 2 diabetes,DIABETIC MEDICINE,DIABETIC MEDICINE|ENDOCRINOLOGY
ulcerative colitis,GASTROENTEROLOGY,GASTROENTEROLOGY|COLORECTAL SURGERY
urothelial,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
urothelial cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
urothelial carcinoma,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
urticaria,DERMATOLOGY,DERMATOLOGY|CLINICAL IMMUNOLOGY
uterine fibroids,GYNAECOLOGY,GYNAECOLOGY
uveitis,OPHTHALMOLOGY,OPHTHALMOLOGY|MEDICAL OPHTHALMOLOGY|RHEUMATOLOGY
vascular disease,VASCULAR SURGERY,VASCULAR SURGERY|CARDIOLOGY
vasculitis,RHEUMATOLOGY,RHEUMATOLOGY|CLINICAL IMMUNOLOGY
venom allergy,CLINICAL IMMUNOLOGY,CLINICAL IMMUNOLOGY
venous thromboembolism,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|VASCULAR SURGERY
